Fecha,Hora,Temp_76,Hum_76,Pres_76,Gas_76,IAQ_76,Temp_77,Hum_77,Pres_77,Gas_77,IAQ_77
2025-06-12,19:50:02,21.2,52.42,1017.68,24658,123.29,20.9,60.59,1018.02,49749,248.75
2025-06-12,20:10:02,21.44,52.19,1017.85,27663,138.31,21.26,60.31,1018.2,57814,289.07
2025-06-12,20:20:01,21.04,52.32,1017.95,28609,143.05,20.92,60.12,1018.33,54975,274.88
2025-06-12,20:40:02,20.7,52.32,1017.86,26611,133.06,20.63,60.15,1018.15,48282,241.41
2025-06-12,20:50:02,20.69,52.17,1017.74,25181,125.9,20.67,59.9,1018.05,35667,178.33
2025-06-12,21:10:02,20.68,52.23,1017.96,21498,107.49,20.65,59.68,1018.25,33255,166.28
2025-06-12,21:20:02,20.59,52.24,1018.17,20745,103.72,20.57,59.7,1018.43,29120,145.6
2025-06-12,21:40:01,20.56,52.55,1018.13,19335,96.67,20.51,60.22,1018.39,29667,148.34
2025-06-12,21:50:01,20.73,53.06,1018.09,18529,92.65,20.72,60.67,1018.4,24993,124.97
2025-06-12,22:10:02,20.79,53.17,1018.15,17199,86.0,20.78,60.86,1018.51,22198,110.99
2025-06-12,22:20:02,20.82,53.42,1018.32,16675,83.38,20.81,61.09,1018.67,20453,102.27
2025-06-12,22:40:02,20.6,53.43,1017.99,16096,80.48,20.4,61.44,1018.34,20897,104.48
2025-06-12,22:50:02,20.68,53.4,1017.96,15857,79.28,20.66,61.04,1018.27,18800,94.0
2025-06-12,23:10:01,20.58,53.46,1018.13,15511,77.55,20.6,61.06,1018.42,18994,94.97
2025-06-12,23:20:01,20.59,53.41,1017.92,15366,76.83,20.53,61.14,1018.24,17478,87.39
2025-06-12,23:40:02,20.45,53.56,1018.01,15137,75.69,20.37,61.18,1018.27,18721,93.6
2025-06-12,23:50:01,20.43,53.55,1017.99,15030,75.15,20.42,61.31,1018.27,16712,83.56
2025-06-13,00:10:02,20.43,53.47,1017.71,14883,74.41,20.37,61.11,1018.03,16955,84.78
2025-06-13,00:20:02,20.34,53.54,1017.73,14873,74.36,20.32,61.23,1018.03,15906,79.53
2025-06-13,00:40:02,20.41,53.16,1017.75,14821,74.11,20.37,60.73,1018.11,16305,81.53
2025-06-13,00:50:02,20.22,53.52,1017.97,14852,74.26,20.14,61.35,1018.26,15311,76.55
2025-06-13,01:10:02,20.33,53.26,1018.37,14598,72.99,20.41,60.78,1018.69,15164,75.82
2025-06-13,01:20:02,20.21,53.43,1018.33,14509,72.55,20.25,60.9,1018.67,14182,70.91
2025-06-13,01:40:02,20.21,53.3,1018.12,14295,71.47,20.19,61.0,1018.38,14273,71.36
2025-06-13,01:50:01,20.25,53.13,1018.01,14228,71.14,20.26,60.72,1018.27,13416,67.08
2025-06-13,02:10:02,20.17,53.19,1017.99,15062,75.31,20.09,60.83,1018.28,13597,67.98
2025-06-13,02:20:01,20.24,53.01,1017.98,14069,70.34,20.24,60.5,1018.26,13631,68.15
2025-06-13,02:40:01,20.21,52.98,1018.08,13958,69.79,20.3,60.32,1018.36,13176,65.88
2025-06-13,02:50:01,20.13,53.09,1018.04,13922,69.61,20.09,60.55,1018.38,12569,62.84
2025-06-13,03:10:01,20.19,53.0,1017.88,13805,69.03,20.19,60.4,1018.14,12787,63.94
2025-06-13,03:20:01,20.15,53.01,1017.78,13796,68.98,20.21,60.29,1018.08,12297,61.48
2025-06-13,03:40:02,20.09,53.01,1017.84,13751,68.75,20.07,60.64,1018.12,12728,63.64
2025-06-13,03:50:02,20.05,52.87,1017.71,13778,68.89,19.99,60.4,1018.0,12303,61.52
2025-06-13,04:10:02,20.04,53.5,1017.65,13698,68.49,20.02,61.0,1017.93,12914,64.57
2025-06-13,04:20:02,20.07,53.58,1017.53,14078,70.39,20.06,61.07,1017.8,15804,79.02
2025-06-13,04:40:01,20.01,53.72,1017.37,15147,75.73,20.09,61.16,1017.65,22746,113.73
2025-06-13,04:50:01,19.95,53.76,1017.51,15355,76.77,20.03,61.29,1017.78,20917,104.58
2025-06-13,05:10:01,19.9,53.61,1017.51,15344,76.72,19.88,61.27,1017.77,21300,106.5
2025-06-13,05:20:02,19.96,53.42,1017.4,15267,76.33,20.0,60.95,1017.68,19497,97.48
2025-06-13,05:40:01,19.73,53.28,1017.38,15180,75.9,19.69,60.89,1017.71,19531,97.66
2025-06-13,05:50:02,19.78,53.1,1017.35,15234,76.17,19.76,60.58,1017.58,18302,91.51
2025-06-13,06:10:02,19.77,53.21,1017.38,15073,75.36,19.66,60.9,1017.7,18455,92.27
2025-06-13,06:20:01,19.73,53.28,1017.34,14935,74.68,19.73,60.96,1017.66,17341,86.7
2025-06-13,06:40:01,19.73,53.22,1017.55,14831,74.16,19.73,60.85,1017.89,17816,89.08
2025-06-13,06:50:02,19.75,53.1,1017.59,14790,73.95,19.82,60.55,1017.89,17086,85.43
2025-06-13,07:10:02,19.6,53.36,1017.81,14790,73.95,19.64,60.87,1018.1,17845,89.22
2025-06-13,07:20:01,19.7,52.93,1017.87,14760,73.8,19.77,60.29,1018.2,17139,85.69
2025-06-13,07:40:01,19.65,52.83,1018.09,14894,74.47,19.57,60.57,1018.43,18502,92.51
2025-06-13,07:50:01,19.6,52.87,1018.14,14935,74.68,19.65,60.27,1018.48,17873,89.36
2025-06-13,08:10:01,19.58,52.81,1018.16,15212,76.06,19.62,60.28,1018.53,19918,99.59
2025-06-13,08:20:02,19.58,52.78,1018.04,15377,76.88,19.63,60.21,1018.39,19865,99.33
2025-06-13,08:40:02,19.65,52.63,1018.07,15511,77.55,19.67,60.06,1018.34,21403,107.02
2025-06-13,08:50:01,19.69,52.43,1018.14,15567,77.84,19.72,59.93,1018.44,19918,99.59
2025-06-13,09:10:01,19.54,52.77,1018.14,15579,77.9,19.64,60.08,1018.46,20586,102.93
2025-06-13,09:20:02,19.53,52.83,1018.28,15636,78.18,19.63,60.27,1018.64,19635,98.17
2025-06-13,09:40:02,19.51,52.66,1018.3,15786,78.93,19.44,60.15,1018.56,20799,104.0
2025-06-13,09:50:02,19.55,52.69,1018.16,15845,79.23,19.59,60.08,1018.52,19883,99.42
